Algo,scale,levels,smoothingSize,iterations,polyArea,polyWidth,ssimScore_B,ssimScore_G,ssimScore_R,ssimScore_mean,image_1,image_2,image_test
fb,0.1,1,2,1,1,1.3,0.760231,0.72319,0.72319,0.739094,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221300.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221306.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221312.png
fb,0.1,1,2,1,1,1.3,0.753892,0.718,0.718,0.732335,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221306.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221312.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221318.png
fb,0.1,1,2,1,1,1.3,0.742782,0.705838,0.705838,0.720273,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221312.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221318.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221324.png
fb,0.1,1,2,1,1,1.3,0.733318,0.700864,0.700864,0.714414,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221318.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221324.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221330.png
fb,0.1,1,2,1,1,1.3,0.719762,0.684576,0.684576,0.701061,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221324.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221330.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221336.png
fb,0.1,1,2,1,1,1.3,0.715116,0.686771,0.686771,0.697282,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221330.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221336.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221342.png
fb,0.1,1,2,1,1,1.3,0.706228,0.676185,0.676185,0.690425,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221336.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221342.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221348.png
fb,0.1,1,2,1,1,1.3,0.705046,0.676466,0.676466,0.68926,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221342.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221348.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221354.png
fb,0.1,1,2,1,1,1.3,0.69582,0.66461,0.66461,0.675974,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221348.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221354.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221400.png
fb,0.1,1,2,1,1,1.3,0.684179,0.649566,0.649566,0.66187,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221354.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221400.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221406.png
fb,0.1,1,2,1,1,1.3,0.668394,0.634032,0.634032,0.646675,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221400.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221406.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221412.png
fb,0.1,1,2,1,1,1.3,0.663892,0.622185,0.622185,0.639537,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221406.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221412.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221418.png
fb,0.1,1,2,1,1,1.3,0.661202,0.622294,0.622294,0.639628,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221412.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221418.png,/mnt/h_drive/projects/weather/data/01-703/IDR703.T.202007221424.png
